Iterations,Elapsed time,Pressure,Error,Status,Baro Pressure
131,0.0616459846496582,939.53143,16908288,6296576,939.94946
132,0.06180429458618164,939.53271,16908288,6296576,939.94946
133,0.061981916427612305,939.55859,16908288,6296576,939.94946
134,0.0608367919921875,939.50562,16908288,6296576,939.94946
135,0.06200838088989258,939.50562,16908288,6296576,939.94946
136,0.06111574172973633,939.55988,16908288,6296576,939.95044
137,0.060747623443603516,939.53143,16908288,6296576,939.95044
138,0.0627908706665039,939.50494,16908288,6296576,939.95044
139,0.06309962272644043,939.50562,16908288,6296576,939.95044
140,0.060256242752075195,939.50562,16908288,6296576,939.95044
141,0.06073307991027832,939.53143,16908288,6296576,939.95044
142,0.0627899169921875,939.50494,16908288,6296576,939.95044
143,0.061448097229003906,939.53271,16908288,6296576,939.95044
144,0.06146740913391113,939.50494,16908288,6296576,939.92871
145,0.06206345558166504,939.50494,16908288,6296576,939.92871
146,0.06225323677062988,939.53143,16908288,6296576,939.92871
147,0.060744524002075195,939.55988,16908288,6296576,939.92871
148,0.06154155731201172,939.53143,16908288,6296576,939.92871
149,0.060982465744018555,939.53143,16908288,6296576,939.92871
150,0.06112384796142578,939.50494,16908288,6296576,939.92871
151,0.05941653251647949,939.53271,16908288,6296576,939.92871
152,0.06105756759643555,939.55859,16908288,6296576,939.93359
153,0.06166839599609375,939.55859,16908288,6296576,939.93359
154,0.06221127510070801,939.55859,16908288,6296576,939.93359
155,0.06278824806213379,939.55988,16908288,6296576,939.93359
156,0.06107068061828613,939.55859,16908288,6296576,939.93359
157,0.06119060516357422,939.53143,16908288,6296576,939.93359
158,0.060892581939697266,939.55145,16908288,6296576,939.93359
159,0.06004786491394043,939.55145,16908288,6296576,939.93359
160,0.061962127685546875,939.53143,16908288,6296576,939.94214
161,0.0614316463470459,939.50494,16908288,6296576,939.94214
162,0.06234169006347656,939.53271,16908288,6296576,939.94214
163,0.062064409255981445,939.53271,16908288,6296576,939.94214
164,0.06267166137695312,939.53143,16908288,6296576,939.94214
165,0.061170101165771484,939.53143,16908288,6296576,939.94214
166,0.06191897392272949,939.53271,16908288,6296576,939.94214
167,0.06124711036682129,939.53143,16908288,6296576,939.94214
168,0.06213736534118652,939.53143,16908288,6296576,939.94214
169,0.061697959899902344,939.53143,16908288,6296576,939.93774
